Y,preprocesed_sentences,compound,positive,negative,neutral,sentiment
25,'ve qualify several new product fourth quarter incredibly excite lineup cpu,0.5256,0.253,0,0.747,1
11,let briefly discus highlight,0.34,0.444,0,0.556,0
2,give great confidence intel future know 'll pass baton pat whose technical expertise industry knowledge execution track record commitment company indisputable,0.875,0.357,0,0.643,1
4,proud 're able achieve together intel team relatively short period time echo omar word intel strong strategic financial position make transition,0.7506,0.252,0,0.748,1
57,look forward watch pat team continue progress build intel purpose deliver breakthrough technology enrich life everyone planet,0.4215,0.149,0,0.851,0
7,generate billion revenue eps exceed guidance billion respectively,0.34,0.255,0,0.745,0
56,pas george detail fourth-quarter result want reiterate could n't proud team intel cherish time 've spend,0.089,0.2,0.131,0.668,0
12,start improve execution strengthen core business let start update process technology product road map,0.6369,0.302,0,0.698,1
49,mobileye deliver record fourth quarter explosive start number excite announcement,0.5267,0.355,0,0.645,1
13,last year 've follow idm model ensure deliver predictable cadence leadership product preserve idm advantage continue invest process technology leadership generate attractive return capital,0.7579,0.263,0,0.737,1
14,evolution include disaggregated design strategy adoption standard industry process common tool flow method deeper engagement industry ecosystem,0.4588,0.158,0,0.842,0
55,build today announce increase annual dividend per share,0.5423,0.429,0,0.571,1
16,since time make tremendous progress -nanometer technology,0.4215,0.318,0,0.682,0
17,-nanometer originally define flow contain particular sequence step contribute defect issue discuss july,-0.34,0,0.167,0.833,0
18,rearchitecting step 've able resolve defect,0.0516,0.289,0.267,0.444,0
19,part work last six month also streamline simplify -nanometer process architecture better ensure 'll able deliver product road map,0.6705,0.244,0,0.756,1
20,inline data collect pipeline prove yield development project give confidence ability deliver commitment forward,0.802,0.427,0,0.573,1
21,time pat mention continue leverage relationship 've develop year external foundry partner believe play larger role product road map give disaggregated design,0.34,0.103,0,0.897,0
22,pat chance join 'll ass analysis drive final manufacture decision cpu product,-0.0772,0.251,0.21,0.539,0
3,last two year make significant progress strategy transform intel multi-architecture xpu company move silicon solution contemporize idm model,0.7096,0.315,0,0.685,1
38,ship discrete graphic thin light notebook acer asus dell introduce first discrete gpu data center already deliver great cloud game experience customer tencent,0.6249,0.157,0,0.843,1
28,customer tiger lake-based system market well ahead expectation,0.2732,0.231,0,0.769,0
54,time 've deliver substantial capital return shareholder include billion alone dividend share buyback latter include billion accelerate share repurchase announce august,0.4939,0.246,0.079,0.675,0
30,market competitor see supply challenge powerful example incredible value scale factory network continue deliver greater performance cost efficiency customer,0.8591,0.451,0,0.549,1
32,customer see significant value ice lake across cloud network edge workload excellent performance improvement innovation pcie express gen next-generation intel optane persistent memory security enhancement sgx,0.9313,0.443,0,0.557,1
34,product take advantage enhance superfin process technology numerous architectural improvement broadly sample customer,0.6124,0.312,0,0.688,1
33,look ahead excite capability bring customer alder lake mobile desktop sapphire rapid data center,0.4767,0.193,0,0.807,0
50,third 've maintain discipline thoughtfully allocate shareholder capital,0.4019,0.278,0,0.722,0
52,'ve drive spend revenue revenue invest manufacture capacity expansion add billion target higher growth initiative focus product portfolio,0.3818,0.133,0,0.867,0
41,past several year make investment position lead key technology inflection network transformation intelligent autonomous edge,0.4588,0.176,0,0.824,0
42,infuse capability everything make cloud see tremendous growth prospect build position data center train complement strength intel xeon inference,0.7906,0.333,0,0.667,1
43,make significant step quarter amazon announce ec2 instance leverage eight habana gaudi train accelerator deliver better price-performance current gpu-based ec2 instance machine learn workload,0.6597,0.234,0,0.766,1
45,expand footprint radio access network deliver xeon socs fpgas custom solution base station design reach goal share two year ahead original target,0.802,0.375,0,0.625,1
46,today lead network silicon provider win wireless enterprise cloud network deliver billion revenue year approximately versus,0.5859,0.202,0,0.798,1
1,honor lead incredible company talented team,0.7579,0.619,0,0.381,1
5,demonstrate result announce today demand intel innovative technology remain strong investment capitalize future growth opportunity pay,0.8658,0.473,0.118,0.408,1
10,continue advance three strategic priority improve execution strengthen core business extend reach accelerate growth redefine position industry continue thoughtfully deploy capital create value shareholder,0.93,0.527,0,0.473,1
15,july highlight challenge -nanometer technology start process improve evaluate best approach product lineup,0.8689,0.545,0,0.455,1
0,thank pat welcome back intel,0.6705,0.647,0,0.353,1
36,expand market opportunity front cpu critical multiple architecture xpus require help customer optimize specific workload,0.8271,0.472,0.099,0.429,1
40,second 've make strong progress extend reach accelerate growth,0.8591,0.742,0,0.258,1
47,finally enviable asset lead explosive growth intelligent autonomous edge compute,0.7964,0.536,0,0.464,1
29,believe gain market share cpu unit grow impressive quarter,0.836,0.597,0,0.403,1
58,also thank investor analyst line today continue support intel value engagement year,0.8625,0.57,0,0.43,1
